lineage	month	lineage_counts_covspectrum	lineage_counts_genbank	total_counts_covspectrum	total_counts_genbank	monthly_frequency_covspectrum	monthly_frequency_genbank
BQ.1.1.57	2023-01	162	143	122622	92808	0.00132	0.00154
CK.1.4	2023-01	188	122	122622	92808	0.00153	0.00131
BQ.1.1.67	2023-01	187	134	122622	92808	0.00153	0.00144
CR.1.1	2023-01	165	139	122622	92808	0.00135	0.0015
BF.7.21	2023-01	181	89	122622	92808	0.00148	0.000959
CH.1.1.5	2023-01	180	79	122622	92808	0.00147	0.000851
EE.2	2023-01	167	134	122622	92808	0.00136	0.00144
BQ.1.3	2023-01	177	16	122622	92808	0.00144	0.000172
BN.1.4	2023-01	175	117	122622	92808	0.00143	0.00126
BW.1.1	2023-01	174	125	122622	92808	0.00142	0.00135
CL.1.1	2023-01	174	83	122622	92808	0.00142	0.000894
BA.5.2.20	2023-01	173	117	122622	92808	0.00141	0.00126
XBB.1.5.17	2023-01	159	130	122622	92808	0.0013	0.0014
CH.1.1.11	2023-01	171	124	122622	92808	0.00139	0.00134
BA.5.1.18	2023-01	147	129	122622	92808	0.0012	0.00139
XBB.1.4.1	2023-01	169	111	122622	92808	0.00138	0.0012
EE.1	2023-01	167	123	122622	92808	0.00136	0.00133
XBB.2.6	2023-01	167	114	122622	92808	0.00136	0.00123
DF.1.1	2023-01	161	124	122622	92808	0.00131	0.00134
BQ.1.1.35	2023-01	139	122	122622	92808	0.00113	0.00131
BQ.1.1.54	2023-01	156	120	122622	92808	0.00127	0.00129
DN.1	2023-01	136	120	122622	92808	0.00111	0.00129
CJ.1.2	2023-01	157	67	122622	92808	0.00128	0.000722
BA.5.2.48	2023-01	151	94	122622	92808	0.00123	0.00101
BA.2.3.20	2023-01	147	114	122622	92808	0.0012	0.00123
BE.1.2.1	2023-01	133	113	122622	92808	0.00108	0.00122
ED.2	2023-01	144	113	122622	92808	0.00117	0.00122
BN.3.1	2023-01	149	77	122622	92808	0.00122	0.00083
CA.7	2023-01	124	112	122622	92808	0.00101	0.00121
BQ.1.1.65	2023-01	128	110	122622	92808	0.00104	0.00119
XBB.1.5.11	2023-01	145	110	122622	92808	0.00118	0.00119
BQ.1.1.19	2023-01	117	109	122622	92808	0.000954	0.00117
CH.1.1.13	2023-01	116	109	122622	92808	0.000946	0.00117
BU.1	2023-01	128	107	122622	92808	0.00104	0.00115
XBB.1.5.33	2023-01	123	107	122622	92808	0.001	0.00115
BA.5.2.9	2023-01	131	104	122622	92808	0.00107	0.00112
CH.1.1.6	2023-01	105	102	122622	92808	0.000856	0.0011
XBZ	2023-01	125	102	122622	92808	0.00102	0.0011
BF.7.20	2023-01	133	65	122622	92808	0.00108	0.0007
BQ.1.6	2023-01	118	100	122622	92808	0.000962	0.00108
XBB.2.11.1	2023-01	117	99	122622	92808	0.000954	0.00107
BA.5.1.5	2023-01	130	83	122622	92808	0.00106	0.000894
XBB.1.5.48	2023-01	112	98	122622	92808	0.000913	0.00106
XBB.1.5.31	2023-01	127	91	122622	92808	0.00104	0.000981
BF.7.24	2023-01	125	70	122622	92808	0.00102	0.000754
XBK	2023-01	124	69	122622	92808	0.00101	0.000743
CH.1.1.9	2023-01	101	93	122622	92808	0.000824	0.001
BQ.1.1.72	2023-01	122	91	122622	92808	0.000995	0.000981
XBB.1.5.20	2023-01	121	83	122622	92808	0.000987	0.000894
BQ.1.22	2023-01	119	90	122622	92808	0.00097	0.00097
BQ.1.21	2023-01	115	89	122622	92808	0.000938	0.000959
BN.1.2.3	2023-01	116	57	122622	92808	0.000946	0.000614
BQ.1.1.63	2023-01	109	87	122622	92808	0.000889	0.000937
EC.1	2023-01	94	84	122622	92808	0.000767	0.000905
EE.5	2023-01	99	83	122622	92808	0.000807	0.000894
BQ.1.1.45	2023-01	106	82	122622	92808	0.000864	0.000884
CH.1.1.28	2023-01	100	82	122622	92808	0.000816	0.000884
DF.1	2023-01	100	82	122622	92808	0.000816	0.000884
BA.5.3.1	2023-01	108	55	122622	92808	0.000881	0.000593
BF.7.14	2023-01	94	81	122622	92808	0.000767	0.000873
BQ.1.1.58	2023-01	103	81	122622	92808	0.00084	0.000873
BQ.1.1.76	2023-01	92	81	122622	92808	0.00075	0.000873
BQ.1.26.1	2023-01	101	81	122622	92808	0.000824	0.000873
CH.1.1.10	2023-01	89	81	122622	92808	0.000726	0.000873
XAY.2	2023-01	107	52	122622	92808	0.000873	0.00056
BE.10	2023-01	89	80	122622	92808	0.000726	0.000862
BF.10	2023-01	103	80	122622	92808	0.00084	0.000862
CK.1.5	2023-01	87	80	122622	92808	0.000709	0.000862
XBC.1.2.1	2023-01	105	46	122622	92808	0.000856	0.000496
DR.1	2023-01	91	78	122622	92808	0.000742	0.00084
BQ.1.1.42	2023-01	103	75	122622	92808	0.00084	0.000808
XBB.1.5.19	2023-01	103	76	122622	92808	0.00084	0.000819
BE.1.1.1	2023-01	102	28	122622	92808	0.000832	0.000302
BA.4.6.3	2023-01	93	77	122622	92808	0.000758	0.00083
CA.3.1	2023-01	91	77	122622	92808	0.000742	0.00083
DS.2	2023-01	101	25	122622	92808	0.000824	0.000269
BQ.1.1.43	2023-01	89	75	122622	92808	0.000726	0.000808
BE.1.1	2023-01	99	40	122622	92808	0.000807	0.000431
CM.8.1	2023-01	98	69	122622	92808	0.000799	0.000743
XBB.1.5.32	2023-01	98	73	122622	92808	0.000799	0.000787
BA.5.3.5	2023-01	88	74	122622	92808	0.000718	0.000797
BF.7.19	2023-01	97	52	122622	92808	0.000791	0.00056
XBB.1.5.16	2023-01	94	73	122622	92808	0.000767	0.000787
BA.2	2023-01	96	7	122622	92808	0.000783	7.54e-05
BA.5.2.23	2023-01	96	72	122622	92808	0.000783	0.000776
XBB.1.5.18	2023-01	96	54	122622	92808	0.000783	0.000582
BQ.1.2.1	2023-01	95	61	122622	92808	0.000775	0.000657
XBB.2.5	2023-01	95	62	122622	92808	0.000775	0.000668
BF.7.1	2023-01	94	34	122622	92808	0.000767	0.000366
DV.1.1	2023-01	79	71	122622	92808	0.000644	0.000765
XBT	2023-01	93	49	122622	92808	0.000758	0.000528
BQ.1.1.66	2023-01	89	69	122622	92808	0.000726	0.000743
BQ.1.4	2023-01	90	69	122622	92808	0.000734	0.000743
BA.1	2023-01	91	6	122622	92808	0.000742	6.46e-05
XBB.1.5.21	2023-01	91	65	122622	92808	0.000742	0.0007
FD.2	2023-01	90	57	122622	92808	0.000734	0.000614
XBB.1.5.52	2023-01	90	58	122622	92808	0.000734	0.000625
XBB.1.5.67	2023-01	82	68	122622	92808	0.000669	0.000733
BA.5.1.10	2023-01	89	59	122622	92808	0.000726	0.000636
BQ.1.1.56	2023-01	79	67	122622	92808	0.000644	0.000722
BQ.1.10.2	2023-01	81	66	122622	92808	0.000661	0.000711
CR.1	2023-01	87	60	122622	92808	0.000709	0.000646
BF.7.7	2023-01	86	50	122622	92808	0.000701	0.000539
BN.1.3.6	2023-01	85	52	122622	92808	0.000693	0.00056
BA.4.1.11	2023-01	68	64	122622	92808	0.000555	0.00069
DY.2	2023-01	66	64	122622	92808	0.000538	0.00069
BQ.1.1.29	2023-01	83	60	122622	92808	0.000677	0.000646
BQ.1.31	2023-01	82	22	122622	92808	0.000669	0.000237
DQ.1	2023-01	82	54	122622	92808	0.000669	0.000582
BQ.1.1.36	2023-01	72	62	122622	92808	0.000587	0.000668
BW.1.1.1	2023-01	79	62	122622	92808	0.000644	0.000668
GP.2	2023-01	81	48	122622	92808	0.000661	0.000517
EF.1.2	2023-01	79	61	122622	92808	0.000644	0.000657
ER.1	2023-01	69	61	122622	92808	0.000563	0.000657
BQ.1.1.11	2023-01	80	56	122622	92808	0.000652	0.000603
BQ.1.1.47	2023-01	80	43	122622	92808	0.000652	0.000463
ET.1	2023-01	66	59	122622	92808	0.000538	0.000636
BA.5.1.22	2023-01	76	53	122622	92808	0.00062	0.000571
BF.7.5.1	2023-01	76	31	122622	92808	0.00062	0.000334
CH.1.1.24	2023-01	76	34	122622	92808	0.00062	0.000366
XBB.1.9	2023-01	76	38	122622	92808	0.00062	0.000409
CP.1	2023-01	65	57	122622	92808	0.00053	0.000614
ED.3	2023-01	68	56	122622	92808	0.000555	0.000603
BE.4.2	2023-01	70	55	122622	92808	0.000571	0.000593
CN.1	2023-01	70	55	122622	92808	0.000571	0.000593
BA.5.1.12	2023-01	72	39	122622	92808	0.000587	0.00042
BN.1.4.2	2023-01	72	21	122622	92808	0.000587	0.000226
BQ.1.1.26	2023-01	72	53	122622	92808	0.000587	0.000571
CH.1.1.12	2023-01	72	11	122622	92808	0.000587	0.000119
XAY.2.1	2023-01	72	23	122622	92808	0.000587	0.000248
XBB.1.5.51	2023-01	72	51	122622	92808	0.000587	0.00055
BN.1.4.1	2023-01	71	38	122622	92808	0.000579	0.000409
BQ.1.1.27	2023-01	67	53	122622	92808	0.000546	0.000571
BN.1.4.3	2023-01	69	39	122622	92808	0.000563	0.00042
XBB.1.5.34	2023-01	59	52	122622	92808	0.000481	0.00056
BU.3	2023-01	67	38	122622	92808	0.000546	0.000409
CK.1.3	2023-01	64	50	122622	92808	0.000522	0.000539
BN.1.3.5	2023-01	65	40	122622	92808	0.00053	0.000431
BQ.1.1.59	2023-01	50	49	122622	92808	0.000408	0.000528
BQ.1.27	2023-01	55	49	122622	92808	0.000449	0.000528
BW.1	2023-01	60	49	122622	92808	0.000489	0.000528
CH.1.1.8	2023-01	52	49	122622	92808	0.000424	0.000528
CK.3	2023-01	59	49	122622	92808	0.000481	0.000528
FJ.1	2023-01	54	49	122622	92808	0.00044	0.000528
XBB.1.5.1	2023-01	54	49	122622	92808	0.00044	0.000528
CV.1	2023-01	64	36	122622	92808	0.000522	0.000388
BA.5.2.57	2023-01	58	48	122622	92808	0.000473	0.000517
CH.1.1.18	2023-01	57	48	122622	92808	0.000465	0.000517
DV.2	2023-01	54	48	122622	92808	0.00044	0.000517
DY.4	2023-01	50	48	122622	92808	0.000408	0.000517
BA.5.12	2023-01	63	47	122622	92808	0.000514	0.000506
BA.5.2.58	2023-01	61	36	122622	92808	0.000497	0.000388
DB.1	2023-01	61	46	122622	92808	0.000497	0.000496
EW.2	2023-01	61	46	122622	92808	0.000497	0.000496
CN.2	2023-01	50	46	122622	92808	0.000408	0.000496
BW.1.1.2	2023-01	60	41	122622	92808	0.000489	0.000442
BA.5.2.25	2023-01	57	45	122622	92808	0.000465	0.000485
BQ.1.26	2023-01	56	45	122622	92808	0.000457	0.000485
CM.2	2023-01	47	45	122622	92808	0.000383	0.000485
CZ.2	2023-01	48	45	122622	92808	0.000391	0.000485
EC.1.1	2023-01	44	45	122622	92808	0.000359	0.000485
XAY.2.2	2023-01	59	29	122622	92808	0.000481	0.000312
DK.1	2023-01	50	44	122622	92808	0.000408	0.000474
BE.1.4.2	2023-01	46	41	122622	92808	0.000375	0.000442
BF.13	2023-01	49	41	122622	92808	0.0004	0.000442
BN.1.1	2023-01	54	34	122622	92808	0.00044	0.000366
XBB.1.1	2023-01	54	30	122622	92808	0.00044	0.000323
XBB.3	2023-01	48	40	122622	92808	0.000391	0.000431
BR.2	2023-01	52	22	122622	92808	0.000424	0.000237
BA.2.75.5	2023-01	51	19	122622	92808	0.000416	0.000205
BF.7.10	2023-01	51	30	122622	92808	0.000416	0.000323
BF.7.3	2023-01	51	22	122622	92808	0.000416	0.000237
BN.1.2.4	2023-01	51	23	122622	92808	0.000416	0.000248
BQ.1.1.49	2023-01	51	38	122622	92808	0.000416	0.000409
BQ.1.9	2023-01	51	36	122622	92808	0.000416	0.000388
BA.5.2.52	2023-01	50	33	122622	92808	0.000408	0.000356
CK.2	2023-01	44	37	122622	92808	0.000359	0.000399
FD.4	2023-01	46	37	122622	92808	0.000375	0.000399
XBB.6.1	2023-01	44	37	122622	92808	0.000359	0.000399
BN.1.9	2023-01	48	25	122622	92808	0.000391	0.000269
BA.5.2.47	2023-01	44	36	122622	92808	0.000359	0.000388
BA.5.2.59	2023-01	42	36	122622	92808	0.000343	0.000388
BM.1.1.3	2023-01	43	36	122622	92808	0.000351	0.000388
BY.1	2023-01	43	36	122622	92808	0.000351	0.000388
BN.1.3.7	2023-01	47	18	122622	92808	0.000383	0.000194
CP.1.1	2023-01	47	18	122622	92808	0.000383	0.000194
XBB.1.5.9	2023-01	38	35	122622	92808	0.00031	0.000377
BA.5.1.33	2023-01	46	32	122622	92808	0.000375	0.000345
BQ.1.1.39	2023-01	46	30	122622	92808	0.000375	0.000323
BA.5.2.7	2023-01	45	30	122622	92808	0.000367	0.000323
BQ.1.1.17	2023-01	45	30	122622	92808	0.000367	0.000323
BQ.1.24	2023-01	39	34	122622	92808	0.000318	0.000366
DL.1	2023-01	44	34	122622	92808	0.000359	0.000366
XBF.4	2023-01	39	34	122622	92808	0.000318	0.000366
BA.5.1.23	2023-01	44	26	122622	92808	0.000359	0.00028
BF.7.15	2023-01	40	33	122622	92808	0.000326	0.000356
BQ.1.1.34	2023-01	33	33	122622	92808	0.000269	0.000356
BQ.1.1.77	2023-01	39	33	122622	92808	0.000318	0.000356
CM.10	2023-01	38	33	122622	92808	0.00031	0.000356
DT.1	2023-01	34	33	122622	92808	0.000277	0.000356
BA.5.2.18	2023-01	43	8	122622	92808	0.000351	8.62e-05
BA.5.2.36	2023-01	42	25	122622	92808	0.000343	0.000269
BF.7.23	2023-01	42	27	122622	92808	0.000343	0.000291
DG.1	2023-01	42	29	122622	92808	0.000343	0.000312
EA.1	2023-01	42	23	122622	92808	0.000343	0.000248
BE.1.1.2	2023-01	41	23	122622	92808	0.000334	0.000248
BA.5.5.1	2023-01	34	31	122622	92808	0.000277	0.000334
BQ.1.1.60	2023-01	38	31	122622	92808	0.00031	0.000334
XBB.1.5.66	2023-01	39	31	122622	92808	0.000318	0.000334
BE.7	2023-01	40	29	122622	92808	0.000326	0.000312
BF.32	2023-01	40	29	122622	92808	0.000326	0.000312
XBB.1.5.3	2023-01	40	26	122622	92808	0.000326	0.00028
BA.5.1.24	2023-01	35	30	122622	92808	0.000285	0.000323
BF.11.1	2023-01	34	30	122622	92808	0.000277	0.000323
BR.1.2	2023-01	38	30	122622	92808	0.00031	0.000323
CH.1.1.14	2023-01	33	30	122622	92808	0.000269	0.000323
DV.1	2023-01	33	30	122622	92808	0.000269	0.000323
XBB.1.5.12	2023-01	39	20	122622	92808	0.000318	0.000215
XBB.1.5.2	2023-01	39	14	122622	92808	0.000318	0.000151
BA.2.75.2	2023-01	38	29	122622	92808	0.00031	0.000312
CP.8	2023-01	32	29	122622	92808	0.000261	0.000312
XBB.1.5.8	2023-01	32	29	122622	92808	0.000261	0.000312
XBB.2.8	2023-01	35	29	122622	92808	0.000285	0.000312
BA.5.1.28	2023-01	37	20	122622	92808	0.000302	0.000215
BN.1.1.1	2023-01	37	16	122622	92808	0.000302	0.000172
BN.1.3.12	2023-01	37	11	122622	92808	0.000302	0.000119
XBB.1.5.4	2023-01	37	28	122622	92808	0.000302	0.000302
XBK.1	2023-01	37	13	122622	92808	0.000302	0.00014
BE.4.1	2023-01	32	28	122622	92808	0.000261	0.000302
BE.4.1.1	2023-01	32	28	122622	92808	0.000261	0.000302
XBF.3	2023-01	30	28	122622	92808	0.000245	0.000302
BA.5.2.21	2023-01	36	25	122622	92808	0.000294	0.000269
BA.5.2.28	2023-01	36	24	122622	92808	0.000294	0.000259
EM.1	2023-01	36	17	122622	92808	0.000294	0.000183
XBC.1	2023-01	36	20	122622	92808	0.000294	0.000215
BA.4.6.1	2023-01	31	27	122622	92808	0.000253	0.000291
DJ.1.1	2023-01	32	27	122622	92808	0.000261	0.000291
DT.3	2023-01	35	27	122622	92808	0.000285	0.000291
FF.1	2023-01	28	27	122622	92808	0.000228	0.000291
XBB.1.5.61	2023-01	30	27	122622	92808	0.000245	0.000291
XBB.1.9.4	2023-01	27	27	122622	92808	0.00022	0.000291
BA.1.1	2023-01	35	0	122622	92808	0.000285	0
BF.11.4	2023-01	35	25	122622	92808	0.000285	0.000269
BQ.1.1.44	2023-01	35	24	122622	92808	0.000285	0.000259
BQ.1.1.48	2023-01	27	26	122622	92808	0.00022	0.00028
DR.2	2023-01	27	26	122622	92808	0.00022	0.00028
EJ.2	2023-01	30	26	122622	92808	0.000245	0.00028
ER.1.1	2023-01	26	26	122622	92808	0.000212	0.00028
BA.5.1.26	2023-01	34	18	122622	92808	0.000277	0.000194
FA.2	2023-01	34	6	122622	92808	0.000277	6.46e-05
BA.5.2.14	2023-01	30	25	122622	92808	0.000245	0.000269
BK.1	2023-01	27	25	122622	92808	0.00022	0.000269
EB.1	2023-01	26	25	122622	92808	0.000212	0.000269
XBB.1.5.55	2023-01	30	25	122622	92808	0.000245	0.000269
XBB.1.5.6	2023-01	28	25	122622	92808	0.000228	0.000269
BA.5.1.30	2023-01	33	20	122622	92808	0.000269	0.000215
BN.1.3.3	2023-01	33	11	122622	92808	0.000269	0.000119
BR.1	2023-01	32	12	122622	92808	0.000261	0.000129
XAY.2.3	2023-01	32	10	122622	92808	0.000261	0.000108
XBB.1.5.95	2023-01	32	17	122622	92808	0.000261	0.000183
BQ.1.1.25	2023-01	25	24	122622	92808	0.000204	0.000259
BN.1.4.5	2023-01	31	22	122622	92808	0.000253	0.000237
XBB.1.5.47	2023-01	31	19	122622	92808	0.000253	0.000205
BE.1.2	2023-01	28	23	122622	92808	0.000228	0.000248
BN.1.5.2	2023-01	26	23	122622	92808	0.000212	0.000248
CQ.1	2023-01	27	23	122622	92808	0.00022	0.000248
XBB.1.5.96	2023-01	25	23	122622	92808	0.000204	0.000248
XBB.1.7	2023-01	26	23	122622	92808	0.000212	0.000248
BA.4	2023-01	30	16	122622	92808	0.000245	0.000172
BA.4.6.5	2023-01	30	19	122622	92808	0.000245	0.000205
BA.5.2.26	2023-01	30	16	122622	92808	0.000245	0.000172
BF.11.3	2023-01	30	20	122622	92808	0.000245	0.000215
XBB.1.5.14	2023-01	30	21	122622	92808	0.000245	0.000226
XBB.1.5.62	2023-01	30	22	122622	92808	0.000245	0.000237
XBF.9	2023-01	30	22	122622	92808	0.000245	0.000237
EE.3	2023-01	26	22	122622	92808	0.000212	0.000237
XBB.1.5.35	2023-01	24	22	122622	92808	0.000196	0.000237
XBQ	2023-01	24	22	122622	92808	0.000196	0.000237
XBS	2023-01	22	22	122622	92808	0.000179	0.000237
BQ.1.1.21	2023-01	29	14	122622	92808	0.000236	0.000151
XBB.1.4	2023-01	29	12	122622	92808	0.000236	0.000129
BA.2.75	2023-01	28	1	122622	92808	0.000228	1.08e-05
BA.5.1.3	2023-01	28	15	122622	92808	0.000228	0.000162
BA.5.2.19	2023-01	28	17	122622	92808	0.000228	0.000183
BA.5.2.22	2023-01	28	19	122622	92808	0.000228	0.000205
BF.7.8	2023-01	28	12	122622	92808	0.000228	0.000129
BN.1.2.2	2023-01	28	18	122622	92808	0.000228	0.000194
CH.1.1.15	2023-01	28	3	122622	92808	0.000228	3.23e-05
CL.1.3	2023-01	28	18	122622	92808	0.000228	0.000194
EE.4	2023-01	28	16	122622	92808	0.000228	0.000172
XBB.3.2	2023-01	28	19	122622	92808	0.000228	0.000205
BQ.1.1.53	2023-01	24	21	122622	92808	0.000196	0.000226
BF.7.4.2	2023-01	27	11	122622	92808	0.00022	0.000119
XBB.1.8	2023-01	27	19	122622	92808	0.00022	0.000205
BF.7.27	2023-01	22	20	122622	92808	0.000179	0.000215
BQ.1.20	2023-01	24	20	122622	92808	0.000196	0.000215
CM.4	2023-01	24	20	122622	92808	0.000196	0.000215
CQ.1.1	2023-01	22	20	122622	92808	0.000179	0.000215
DN.1.1.1	2023-01	21	20	122622	92808	0.000171	0.000215
DY.1	2023-01	21	20	122622	92808	0.000171	0.000215
XBB.1.13	2023-01	25	20	122622	92808	0.000204	0.000215
XBB.1.5.107	2023-01	25	20	122622	92808	0.000204	0.000215
XBD	2023-01	24	20	122622	92808	0.000196	0.000215
XBM	2023-01	21	20	122622	92808	0.000171	0.000215
BA.5.6	2023-01	26	16	122622	92808	0.000212	0.000172
XBB.1.5.46	2023-01	26	17	122622	92808	0.000212	0.000183
XBB.1.5.63	2023-01	26	11	122622	92808	0.000212	0.000119
XBB.1.5.65	2023-01	26	14	122622	92808	0.000212	0.000151
BA.5.2.53	2023-01	21	19	122622	92808	0.000171	0.000205
BQ.1.1.16	2023-01	25	19	122622	92808	0.000204	0.000205
CH.1.1.3	2023-01	24	19	122622	92808	0.000196	0.000205
GP.3	2023-01	21	19	122622	92808	0.000171	0.000205
BQ.1.16	2023-01	25	18	122622	92808	0.000204	0.000194
XBB.1.5.5	2023-01	25	17	122622	92808	0.000204	0.000183
BQ.1.1.46	2023-01	24	8	122622	92808	0.000196	8.62e-05
BA.5.2.39	2023-01	18	18	122622	92808	0.000147	0.000194
BQ.1.1.61	2023-01	21	18	122622	92808	0.000171	0.000194
CH.1.1.26	2023-01	19	18	122622	92808	0.000155	0.000194
FA.1	2023-01	23	18	122622	92808	0.000188	0.000194
FM.1	2023-01	20	18	122622	92808	0.000163	0.000194
BN.1.3.8	2023-01	23	9	122622	92808	0.000188	9.7e-05
BQ.1.29	2023-01	23	17	122622	92808	0.000188	0.000183
XBB.1.9.1	2023-01	23	12	122622	92808	0.000188	0.000129
BA.5.1.25	2023-01	22	17	122622	92808	0.000179	0.000183
BA.5.5	2023-01	22	17	122622	92808	0.000179	0.000183
CM.8.1.4	2023-01	17	17	122622	92808	0.000139	0.000183
XBB.1.32	2023-01	21	17	122622	92808	0.000171	0.000183
XBB.1.5.49	2023-01	21	17	122622	92808	0.000171	0.000183
BF.7.17	2023-01	22	10	122622	92808	0.000179	0.000108
CH.1.1.7	2023-01	22	13	122622	92808	0.000179	0.00014
EF.1.3	2023-01	22	16	122622	92808	0.000179	0.000172
XBB.1.5.80	2023-01	22	16	122622	92808	0.000179	0.000172
BA.5.1.1	2023-01	19	16	122622	92808	0.000155	0.000172
BF.7.14.1	2023-01	18	16	122622	92808	0.000147	0.000172
BQ.1.7	2023-01	20	16	122622	92808	0.000163	0.000172
CH.1.1.21	2023-01	16	16	122622	92808	0.00013	0.000172
DP.1	2023-01	16	16	122622	92808	0.00013	0.000172
FB.2	2023-01	20	16	122622	92808	0.000163	0.000172
XBR	2023-01	17	16	122622	92808	0.000139	0.000172
BA.5.2.3	2023-01	21	13	122622	92808	0.000171	0.00014
BF.28	2023-01	21	12	122622	92808	0.000171	0.000129
BF.4	2023-01	21	11	122622	92808	0.000171	0.000119
EF.3	2023-01	21	12	122622	92808	0.000171	0.000129
EN.1	2023-01	21	8	122622	92808	0.000171	8.62e-05
FL.3	2023-01	21	12	122622	92808	0.000171	0.000129
BE.1	2023-01	20	15	122622	92808	0.000163	0.000162
CB.1	2023-01	20	11	122622	92808	0.000163	0.000119
CG.1	2023-01	20	8	122622	92808	0.000163	8.62e-05
BF.31.1	2023-01	19	15	122622	92808	0.000155	0.000162
CM.5.2	2023-01	17	15	122622	92808	0.000139	0.000162
CC.1	2023-01	19	13	122622	92808	0.000155	0.00014
CH.1.1.27	2023-01	19	7	122622	92808	0.000155	7.54e-05
XBB.1.5.30	2023-01	19	11	122622	92808	0.000155	0.000119
XBG	2023-01	19	12	122622	92808	0.000155	0.000129
BA.5.1.6	2023-01	16	14	122622	92808	0.00013	0.000151
BA.5.2.54	2023-01	14	14	122622	92808	0.000114	0.000151
BA.5.2.56	2023-01	17	14	122622	92808	0.000139	0.000151
BE.6	2023-01	16	14	122622	92808	0.00013	0.000151
CH.1.1.17	2023-01	12	14	122622	92808	9.79e-05	0.000151
DN.1.1.3	2023-01	16	14	122622	92808	0.00013	0.000151
DN.1.1.4	2023-01	14	14	122622	92808	0.000114	0.000151
DV.5	2023-01	8	14	122622	92808	6.52e-05	0.000151
BA.1.17.2	2023-01	18	3	122622	92808	0.000147	3.23e-05
BQ.1.1.9	2023-01	18	4	122622	92808	0.000147	4.31e-05
CJ.1	2023-01	18	4	122622	92808	0.000147	4.31e-05
XBB.1.30	2023-01	18	11	122622	92808	0.000147	0.000119
BA.4.1.8	2023-01	15	13	122622	92808	0.000122	0.00014
BA.5.6.2	2023-01	14	13	122622	92808	0.000114	0.00014
BE.8	2023-01	15	13	122622	92808	0.000122	0.00014
BF.25	2023-01	14	13	122622	92808	0.000114	0.00014
BF.7.14.5	2023-01	13	13	122622	92808	0.000106	0.00014
BM.1.1.4	2023-01	15	13	122622	92808	0.000122	0.00014
DN.1.1.2	2023-01	14	13	122622	92808	0.000114	0.00014
BA.1.15	2023-01	17	0	122622	92808	0.000139	0
BF.11.5	2023-01	17	10	122622	92808	0.000139	0.000108
BN.1.10	2023-01	17	12	122622	92808	0.000139	0.000129
XBB.6	2023-01	17	11	122622	92808	0.000139	0.000119
BA.5.2.12	2023-01	16	6	122622	92808	0.00013	6.46e-05
BA.5.2.60	2023-01	16	8	122622	92808	0.00013	8.62e-05
BA.5.2.62	2023-01	16	12	122622	92808	0.00013	0.000129
BN.1.2.6	2023-01	16	8	122622	92808	0.00013	8.62e-05
BQ.1.10.3	2023-01	16	12	122622	92808	0.00013	0.000129
XBB.3.1	2023-01	16	12	122622	92808	0.00013	0.000129
XBF.6	2023-01	16	10	122622	92808	0.00013	0.000108
BA.5.2.8	2023-01	15	12	122622	92808	0.000122	0.000129
BQ.1.1.55	2023-01	15	12	122622	92808	0.000122	0.000129
BZ.2	2023-01	12	12	122622	92808	9.79e-05	0.000129
DV.3.1	2023-01	15	12	122622	92808	0.000122	0.000129
XBB.1.5.36	2023-01	15	12	122622	92808	0.000122	0.000129
XBB.2.7	2023-01	13	12	122622	92808	0.000106	0.000129
BA.5.2.24	2023-01	15	7	122622	92808	0.000122	7.54e-05
BF.7.13.2	2023-01	15	8	122622	92808	0.000122	8.62e-05
BF.7.26	2023-01	15	7	122622	92808	0.000122	7.54e-05
BQ.1.1.74	2023-01	15	8	122622	92808	0.000122	8.62e-05
DM.1	2023-01	15	9	122622	92808	0.000122	9.7e-05
XBB.1.5.24	2023-01	15	9	122622	92808	0.000122	9.7e-05
XBB.1.6	2023-01	15	11	122622	92808	0.000122	0.000119
BA.5.1.2	2023-01	12	11	122622	92808	9.79e-05	0.000119
CA.5	2023-01	12	11	122622	92808	9.79e-05	0.000119
CR.1.3	2023-01	12	11	122622	92808	9.79e-05	0.000119
FM.2	2023-01	14	11	122622	92808	0.000114	0.000119
XBB.1.5.56	2023-01	14	11	122622	92808	0.000114	0.000119
XBB.1.5.91	2023-01	13	11	122622	92808	0.000106	0.000119
XBP	2023-01	14	11	122622	92808	0.000114	0.000119
BA.5.3.3	2023-01	14	8	122622	92808	0.000114	8.62e-05
BF.2	2023-01	14	6	122622	92808	0.000114	6.46e-05
BQ.1.1.37	2023-01	14	8	122622	92808	0.000114	8.62e-05
BQ.1.1.70	2023-01	14	7	122622	92808	0.000114	7.54e-05
BQ.1.26.2	2023-01	14	8	122622	92808	0.000114	8.62e-05
CM.8.1.3	2023-01	14	7	122622	92808	0.000114	7.54e-05
XBJ.3	2023-01	14	5	122622	92808	0.000114	5.39e-05
BA.5.2.32	2023-01	10	10	122622	92808	8.16e-05	0.000108
BA.5.2.43	2023-01	13	10	122622	92808	0.000106	0.000108
BQ.1.1.71	2023-01	11	10	122622	92808	8.97e-05	0.000108
BQ.1.11.1	2023-01	11	10	122622	92808	8.97e-05	0.000108
CK.1.2	2023-01	12	10	122622	92808	9.79e-05	0.000108
DN.3.1	2023-01	13	10	122622	92808	0.000106	0.000108
XBF.7	2023-01	10	10	122622	92808	8.16e-05	0.000108
BA.5.2.27	2023-01	13	8	122622	92808	0.000106	8.62e-05
BL.1	2023-01	13	7	122622	92808	0.000106	7.54e-05
BQ.2	2023-01	13	8	122622	92808	0.000106	8.62e-05
